TimeStamp,Confidence,NOSE_X,NOSE_Y,LEFT_EYE_X,LEFT_EYE_Y,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_ELBOW_X,LEFT_ELBOW_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,LEFT_WRIST_X,LEFT_WRIST_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,LEFT_KNEE_X,LEFT_KNEE_Y,RIGHT_KNEE_X,RIGHT_KNEE_Y,LEFT_ANKLE_X,LEFT_ANKLE_Y,RIGHT_ANKLE_X,RIGHT_ANKLE_Y
1652878075367,0.5664683,0.42934373,0.25289187,0.43787748,0.24486355,0.42934373,0.24486355,0.4762796,0.2408494,0.43361062,0.2488777,0.53174937,0.32113254,0.42080992,0.31711838,0.5530838,0.40944397,0.4037423,0.40944397,0.54455,0.4937413,0.39094162,0.4736705,0.4976141,0.50578374,0.4250768,0.4977554,0.51041484,0.63825095,0.4080092,0.63423675,0.51041484,0.75466144,0.42080992,0.742619
1652878075503,0.8056649,0.42951024,0.2522653,0.44147837,0.23819126,0.43549427,0.24100609,0.4803748,0.23819126,0.4654146,0.23819126,0.5372234,0.3113762,0.4265182,0.314191,0.55816764,0.42115358,0.4175421,0.40426478,0.54320747,0.50841254,0.3995899,0.4774497,0.50131905,0.4999681,0.4265182,0.49715337,0.51029515,0.6378936,0.408566,0.6294492,0.51029515,0.75893015,0.4175421,0.75611544
1652878075595,0.7766213,0.4255621,0.25133437,0.43162796,0.23706804,0.4255621,0.23706804,0.47408876,0.2313615,0.4589242,0.2313615,0.54081297,0.31125298,0.42859504,0.30839974,0.54991174,0.42538372,0.41949627,0.40541086,0.52868134,0.502422,0.40736464,0.4795958,0.49531928,0.49671543,0.4225292,0.4995687,0.5104838,0.6365256,0.40736464,0.6336723,0.504418,0.75921607,0.40736464,0.76206934
1652878075686,0.7867747,0.41690725,0.24751747,0.42305487,0.23305881,0.41998103,0.23305881,0.46608812,0.23016708,0.4507191,0.23305881,0.530638,0.31113556,0.41998103,0.3082438,0.5398594,0.4239131,0.41998103,0.40367097,0.515269,0.50488156,0.39846444,0.47307256,0.49067858,0.4904229,0.41998103,0.49620634,0.5060475,0.63500947,0.40461203,0.6407929,0.5029738,0.75935394,0.39846444,0.77381253
1652878075774,0.7454525,0.40549773,0.24890839,0.41149664,0.23197761,0.40549773,0.23479943,0.45048976,0.22633402,0.44149134,0.22915581,0.516478,0.30534437,0.41449612,0.30816615,0.5284759,0.41257268,0.41149664,0.4041073,0.50148064,0.50004846,0.39349988,0.47465223,0.49248227,0.48876125,0.4174956,0.48593947,0.5044801,0.63831663,0.40249825,0.6411384,0.5044801,0.75401026,0.3994988,0.7765846
1652878075898,0.76575935,0.3907885,0.24881928,0.3937471,0.23490259,0.3907885,0.23490259,0.4262915,0.22376926,0.42037433,0.22933593,0.5061732,0.296136,0.39966428,0.31005266,0.515049,0.40746936,0.40262285,0.41025272,0.49138024,0.4965361,0.3878299,0.47426942,0.4765874,0.4770528,0.41149858,0.47983614,0.4972975,0.6357029,0.3967057,0.64126956,0.500256,0.75260293,0.39966428,0.7804363
1652878076016,0.74167436,0.36807442,0.25278738,0.364982,0.23242289,0.364982,0.23242289,0.40209064,0.21787682,0.39899826,0.22078604,0.48249274,0.28478876,0.38044393,0.30515325,0.5010471,0.40406656,0.38662875,0.40406656,0.46703082,0.48261535,0.36188966,0.47097853,0.46703082,0.47970614,0.38662875,0.48261535,0.46703082,0.62807614,0.38353634,0.6368037,0.49176985,0.75317234,0.39899826,0.7735368
1652878076144,0.7957476,0.3452086,0.25471756,0.35157177,0.2307725,0.3452086,0.2337656,0.38020608,0.21580681,0.3738429,0.21580681,0.466109,0.27866265,0.36429814,0.3115871,0.48838016,0.39539486,0.37066132,0.41036054,0.45974588,0.47920263,0.3452086,0.48219576,0.4502011,0.48518887,0.38020608,0.48818204,0.4438379,0.6348456,0.38020608,0.6378387,0.48519865,0.7485847,0.39293247,0.77851605
1652878076256,0.7643428,0.33218938,0.25001532,0.33556053,0.22781505,0.32881823,0.2309865,0.36590084,0.21195774,0.36590084,0.2151292,0.4468084,0.27221555,0.3557874,0.3102731,0.47714877,0.38321677,0.3557874,0.40858847,0.4501796,0.4720177,0.32207593,0.4783607,0.44343728,0.48787504,0.369272,0.48787504,0.42658153,0.64010537,0.37264317,0.630591,0.4670353,0.754278,0.38612774,0.77013534
1652878076374,0.78299665,0.32717022,0.24575152,0.33066404,0.22603041,0.32018262,0.22931725,0.36909586,0.20630926,0.34813303,0.22274354,0.43198434,0.2687595,0.34813303,0.3082017,0.47041616,0.37722564,0.3446392,0.4068073,0.44246575,0.46925753,0.30970123,0.46597067,0.4284905,0.4791181,0.36560205,0.48897862,0.41451532,0.64017385,0.37258965,0.6336001,0.44945335,0.7913691,0.39355248,0.77164805
1652878076500,0.71263075,0.31823134,0.2424507,0.32521152,0.22603391,0.31474125,0.22931726,0.3601124,0.20961715,0.34266198,0.22275057,0.4299141,0.25886747,0.346152,0.3114012,0.45783478,0.3770683,0.346152,0.40333518,0.4299141,0.46571898,0.3077611,0.47556904,0.42293397,0.4788524,0.3566223,0.4854191,0.4159538,0.6397368,0.37058267,0.63645345,0.4159538,0.80390465,0.384543,0.7776378
1652878076619,0.67296153,0.31497058,0.24164717,0.31858703,0.2212337,0.31135413,0.22803819,0.35113516,0.20762473,0.33666933,0.22463596,0.41623142,0.25865838,0.35113516,0.3062898,0.44516304,0.3811391,0.35113516,0.40835705,0.41261494,0.46959743,0.31858703,0.48660862,0.41623142,0.47980416,0.36560097,0.4832064,0.39091623,0.6431118,0.3728339,0.632905,0.39453262,0.7962127,0.38729975,0.7689948
1652878076740,0.6916155,0.31657308,0.24162845,0.3201858,0.22123598,0.31296033,0.23143221,0.3563132,0.20424224,0.3346368,0.22463474,0.41772985,0.26541966,0.3527005,0.30280587,0.443019,0.3775783,0.359926,0.394572,0.38882792,0.46254694,0.3346368,0.4829394,0.41772985,0.47274318,0.37437692,0.47274318,0.3707642,0.6392817,0.3707642,0.6324842,0.39244065,0.80921906,0.38160244,0.76843405
1652878076858,0.67555887,0.31485367,0.24076615,0.31829914,0.21483497,0.31485367,0.22131775,0.35964498,0.20186938,0.34241754,0.21159357,0.4216637,0.25697312,0.37687236,0.2764215,0.43200013,0.3833876,0.42855465,0.3833876,0.3699814,0.46442252,0.36653593,0.47090527,0.41477272,0.48711222,0.40099075,0.49035367,0.36309043,0.65242356,0.3699814,0.6459407,0.39754528,0.7982864,0.3940998,0.7691138
1652878076993,0.6226665,0.31934005,0.22868012,0.31934005,0.20746946,0.32309774,0.21100457,0.35691702,0.18979388,0.35315934,0.19686411,0.4095248,0.25342596,0.394494,0.2604962,0.4095248,0.38422522,0.42079788,0.38776034,0.35691702,0.47613823,0.36067474,0.47613823,0.40576708,0.48674357,0.40576708,0.4973489,0.36067474,0.6458237,0.36443245,0.63875353,0.394494,0.81197417,0.3869786,0.7907635
1652878077108,0.70129675,0.31812188,0.22413014,0.31812188,0.20231102,0.31812188,0.20594753,0.3567767,0.18776494,0.35291123,0.19503796,0.39929703,0.25322226,0.39543158,0.2568588,0.39929703,0.38413695,0.40702802,0.38777345,0.34904572,0.4786864,0.34904572,0.4786864,0.39543158,0.4859594,0.40316254,0.49686897,0.36064222,0.6496028,0.36064222,0.6386932,0.39156607,0.8096096,0.3877006,0.7659713
1652878077218,0.7067276,0.3159996,0.2205006,0.3159996,0.19870247,0.31213784,0.20233549,0.35461727,0.18053736,0.34303197,0.18417038,0.3893732,0.25683084,0.3893732,0.25319782,0.37392613,0.38035354,0.38551143,0.39125264,0.33144668,0.4893442,0.33530843,0.49661022,0.39323497,0.4820782,0.41254377,0.47481215,0.36620256,0.6455642,0.3777879,0.6346651,0.39323497,0.8199492,0.38164967,0.76908684
1652878077340,0.61676335,0.31296402,0.21529336,0.3202638,0.19469109,0.3202638,0.1981248,0.35676292,0.18438995,0.34946308,0.19125739,0.38961214,0.25993162,0.3859622,0.25649792,0.3750125,0.39384642,0.3859622,0.39384642,0.32756364,0.49342406,0.3458132,0.48655668,0.39691192,0.4762555,0.39691192,0.4659544,0.3750125,0.6479411,0.36406276,0.63764,0.39326203,0.81619304,0.38961214,0.7749885
1652878077471,0.70956117,0.31689194,0.21644658,0.3204229,0.19319384,0.31689194,0.19651566,0.36279458,0.17658474,0.35573265,0.1865502,0.39457333,0.2563084,0.39104232,0.25298658,0.37691846,0.39250302,0.39104232,0.39582482,0.32748488,0.49880126,0.3345468,0.4921576,0.40163523,0.46558303,0.40516627,0.46558303,0.3733875,0.6383177,0.3733875,0.63167405,0.39810428,0.81105226,0.40163523,0.76786864
1652878077583,0.68004537,0.3126696,0.21728572,0.31973898,0.19733383,0.31973898,0.19733383,0.35862055,0.18403256,0.35862055,0.18403256,0.38689807,0.2571895,0.39043275,0.26051486,0.376294,0.39685282,0.37982866,0.39352748,0.33034307,0.5065882,0.33034307,0.49661228,0.39396745,0.48331103,0.39043275,0.47666043,0.38336337,0.6529022,0.376294,0.6396009,0.39396745,0.80919206,0.39396745,0.75266165
